|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
unknow,unknow,Deus Ex Human Revolution - The Missing Link,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Deus Ex Revision,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
6910,6910,Deus Ex: Game of the Year Edition,Ion Storm,Square Enix,,6166,341,0,"1,000,000 .. 2,000,000",398,1766,50,2310,699,699,0,,
238010,238010,Deus Ex: Human Revolution - Director's Cut,"Eidos Montreal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",,12885,1214,0,"1,000,000 .. 2,000,000",887,596,337,249,1999,1999,0,,
6920,6920,Deus Ex: Invisible War,Ion Storm,Square Enix,,639,424,0,"500,000 .. 1,000,000",88,23,10,26,699,699,0,,
258180,258180,Deus Ex: The Fall,Square Enix,Square Enix,,981,2079,0,"500,000 .. 1,000,000",384,3841,133,3841,999,999,0,,
351800,351800,Dev Guy,Daniel Jonathan Bourke,Project tranquil,,1391,355,0,"200,000 .. 500,000",34,0,23,0,0,0,0,,
6550,6550,Devil May Cry 3 Special Edition,"CAPCOM Co., Ltd.",Capcom,,1442,1029,0,"200,000 .. 500,000",795,662,33,1223,1999,1999,0,,
45700,45700,Devil May Cry 4,Capcom,Capcom,,1616,142,0,"200,000 .. 500,000",489,91,332,91,1999,1999,0,,
329050,329050,Devil May Cry 4 Special Edition,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd. ",,4827,478,0,"500,000 .. 1,000,000",1510,203,432,127,2499,2499,0,,
382350,382350,Devil's Bluff,KBJGames,GAMEPUMP,,123,70,0,"20,000 .. 50,000",64,0,71,0,1499,1499,0,,
unknow,unknow,Devilian,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
363960,363960,Devils & Demons,HandyGames,HandyGames,,27,49,0,"20,000 .. 50,000",30,0,37,0,999,999,0,,
unknow,unknow,Devils Share,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
269650,269650,Dex,Dreadlocks Ltd.,"Dreadlocks Ltd., Techland, WhisperGames",,1672,248,0,"200,000 .. 500,000",393,11,333,11,1999,1999,0,,
70500,70500,Diamond Dan,Grendel Games,Grendel Games,,33,11,0,"20,000 .. 50,000",59,0,24,0,99,99,0,,
37230,37230,Diaper Dash,Zemnott,PlayFirst,,12,2,0,"0 .. 20,000",0,0,0,0,999,999,0,,
277870,277870,Diehard Dungeon,Tricktale,Tricktale,,325,107,0,"50,000 .. 100,000",180,0,112,0,49,499,90,,
315460,315460,Dig or Die,Gaddy Games,Gaddy Games,,2765,283,0,"100,000 .. 200,000",547,36,286,43,1199,1199,0,,
278970,278970,Digger Online,DiggerWorld Ltd.,DiggerWorld Ltd.,,8710,10542,0,"200,000 .. 500,000",1420,15026,43,15026,999,999,0,,
unknow,unknow,Digital Combat Simulator A-10C Warthog,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
37240,37240,Diner Dash: Hometown Hero,PlayFirst,PlayFirst,,25,63,0,"0 .. 20,000",200,0,200,0,999,999,0,,
37300,37300,DinerTown Tycoon,PlayFirst,PlayFirst,,8,5,0,"0 .. 20,000",7,0,7,0,999,999,0,,
94000,94000,Dinner Date,Stout Games,Stout Games,,446,371,0,"20,000 .. 50,000",22,0,21,0,399,399,0,,
70000,70000,Dino D-Day,800 North and Digital Ranch,800 North and Digital Ranch,,12215,2359,0,"1,000,000 .. 2,000,000",250,91,126,94,99,999,90,,
unknow,unknow,Dinosaur Hunt Africa Contract,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,DiRT,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,DiRT 2,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,DiRT 3,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,DiRT 3 Complete Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
310560,310560,DiRT Rally,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",,17510,2466,0,"1,000,000 .. 2,000,000",1088,173,284,89,3999,3999,0,,
unknow,unknow,DiRT Showdown,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
333930,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,43576,10883,0,"5,000,000 .. 10,000,000",943,1029,91,85,0,0,0,,
1640,1640,Disciples II: Gallean's Return,Strategy First,Strategy First,,484,151,0,"100,000 .. 200,000",221,8,41,8,699,699,0,,
1630,1630,Disciples II: Rise of the Elves ,Strategy First,Strategy First,,445,105,0,"100,000 .. 200,000",357,215,101,215,174,699,75,,
200670,200670,Disciples III - Resurrection,"Akella, .dat",Kalypso Media Digital,,54,99,0,"100,000 .. 200,000",93,0,30,0,1499,1499,0,,
unknow,unknow,Disciples III Renaissance,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
10270,10270,Disciples III: Reincarnation,Akella,bitComposer Games,,614,245,0,"50,000 .. 100,000",798,786,291,786,999,999,0,,
281450,281450,Disciples Sacred Lands Gold,Strategy First,Strategy First,,107,24,0,"20,000 .. 50,000",328,5,474,5,79,799,90,,
205100,205100,Dishonored,Arkane Studios,Bethesda Softworks,,41507,1257,0,"2,000,000 .. 5,000,000",881,117,526,89,999,999,0,,
unknow,unknow,Dishonored (RU),unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Disney Infinity 2.0,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Disney Infinity 3.0 Play Without Limits,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
227260,227260,DisplayFusion,Binary Fortress Software,Binary Fortress Software,,605,61,0,"100,000 .. 200,000",23,3,17,3,3499,3499,0,,
233610,233610,Distance,Refract,Refract,,3943,271,0,"100,000 .. 200,000",442,42,212,54,2499,2499,0,,
335830,335830,Distant Star: Revenant Fleet,Blazing Griffin Ltd.,Blazing Griffin Ltd.,,173,93,0,"20,000 .. 50,000",306,0,373,0,999,999,0,,
261470,261470,Distant Worlds: Universe,Code Force,Slitherine Ltd.,,880,262,0,"50,000 .. 100,000",1237,0,756,0,5999,5999,0,,
unknow,unknow,District 187,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
65200,65200,Dive to the Titanic,TML-Studios,astragon Entertainment,,29,48,0,"0 .. 20,000",0,0,0,0,999,999,0,,
244730,244730,Divekick,Iron Galaxy,Iron Galaxy,,1417,266,0,"200,000 .. 500,000",268,0,174,0,499,499,0,,
214170,214170,Divine Divinity,Larian Studios,Larian Studios,,1420,188,0,"500,000 .. 1,000,000",273,0,20,0,599,599,0,,
unknow,unknow,Divine Souls,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Divinity Dragon Commander Beta,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Divinity II - Ego Draconis,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Divinity II - The Dragon Knight Saga,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
219780,219780,Divinity II: Developer's Cut,Larian Studios,"Larian Studios, Focus Home Interactive",,1983,437,0,"500,000 .. 1,000,000",461,185,68,212,1999,1999,0,,
unknow,unknow,Divinity Original Sin,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
243950,243950,Divinity: Dragon Commander,Larian Studios,Larian Studios,,1266,429,0,"200,000 .. 500,000",403,31,203,61,3999,3999,0,,
373420,373420,Divinity: Original Sin - Enhanced Edition,Larian Studios,Larian Studios,,10492,1177,0,"1,000,000 .. 2,000,000",1609,496,473,145,3999,3999,0,,
unknow,unknow,Dizzel,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
230050,230050,DLC Quest,Going Loud Studios,Going Loud Studios,,5439,721,0,"200,000 .. 500,000",153,1,111,1,299,299,0,,
220440,220440,DmC: Devil May Cry,Ninja Theory,Capcom,,14644,922,0,"1,000,000 .. 2,000,000",753,306,283,49,2999,2999,0,,
57800,57800,Doc Clock: The Toasted Sandwich of Time,Stickmen Studios,Stickmen Studios,,79,93,0,"50,000 .. 100,000",41,5,16,5,499,499,0,,
unknow,unknow,Doctor Who The Eternity Clock,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
350630,350630,Dodge,Yokcos,Yokcos,,61,19,0,"0 .. 20,000",151,0,141,0,199,199,0,,
776080,776080,Dodge,GabryGa,GabryGa,,18,9,0,"0 .. 20,000",14,0,14,0,99,99,0,,
217790,217790,Dogfight 1942,City Interactive,CI Games,,408,160,0,"100,000 .. 200,000",174,0,79,0,99,999,90,,
42500,42500,DogFighter,Dark Water Studios Ltd,Instinct Software Ltd.,,232,153,0,"200,000 .. 500,000",157,0,33,0,299,299,0,,
unknow,unknow,Dogs of War Online - Beta,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Dollar Dash,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Dominions 4,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
270310,270310,Dominique Pamplemousse,Squinkifer Productions,Squinkifer Productions,,261,96,0,"20,000 .. 50,000",136,0,98,0,99,99,0,,
216260,216260,Don Bradman Cricket 14,Big Ant Studios,Big Ant Studios,,445,51,0,"20,000 .. 50,000",5859,22,6578,22,1999,1999,0,,
219740,219740,Don't Starve,Klei Entertainment,Klei Entertainment,,61302,2062,0,"2,000,000 .. 5,000,000",1049,406,277,86,999,999,0,,
unknow,unknow,Don't Starve Together Beta,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
348360,348360,Doodle God,JoyBits Ltd.,JoyBits Ltd.,,481,151,0,"100,000 .. 200,000",221,34,202,34,1499,1499,0,,
318130,318130,Doom & Destiny,Heartbit Interactive,Heartbit Interactive,,1555,51,0,"50,000 .. 100,000",426,0,246,0,999,999,0,,
9050,9050,DOOM 3,id Software,id Software,,2586,373,0,"200,000 .. 500,000",282,26,99,38,499,499,0,,
unknow,unknow,DOOM 3 Resurrection of Evil,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
208200,208200,Doom 3: BFG Edition,id Software,Bethesda Softworks,,3932,763,0,"500,000 .. 1,000,000",418,236,128,342,1999,1999,0,,
unknow,unknow,DOOM II Hell on Earth,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
248610,248610,Door Kickers,KillHouse Games,KillHouse Games,,5783,336,0,"500,000 .. 1,000,000",388,30,191,20,1999,1999,0,,
383930,383930,Doorways: Holy Mountains of Flesh,Saibot Studios,Saibot Studios,,321,58,0,"50,000 .. 100,000",201,194,206,246,1999,1999,0,,
248470,248470,Doorways: Prelude,Saibot Studios,Saibot Studios,,365,187,0,"50,000 .. 100,000",149,0,148,0,999,999,0,,
311250,311250,Doorways: The Underworld,Saibot Studios,Saibot Studios,,246,91,0,"50,000 .. 100,000",192,0,199,0,999,999,0,,
570,570,Dota 2,Valve,Valve,,858118,140097,0,"100,000,000 .. 200,000,000",32355,1755,905,1228,0,0,0,,
317360,317360,Double Action: Boogaloo,Double Action Factory,Double Action Factory,,9181,780,0,"2,000,000 .. 5,000,000",126,78,54,104,0,0,0,,
314150,314150,Double Dragon Trilogy,DotEmu,DotEmu,,309,218,0,"20,000 .. 50,000",267,0,249,0,599,599,0,,
252350,252350,Double Dragon: Neon,"WayForward, Abstraction Games","Midnight City, Majesco Entertainment",,1518,448,0,"100,000 .. 200,000",258,7,191,7,999,999,0,,
334040,334040,Down To One,Gadget Games,Gadget Games,,872,1362,0,"100,000 .. 200,000",178,0,105,0,99,99,0,,
360740,360740,Downwell,Moppin,Devolver Digital,,4463,149,0,"200,000 .. 500,000",225,75,88,91,299,299,0,,
409160,409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",Crows Crows Crows,Crows Crows Crows,,7610,529,0,"500,000 .. 1,000,000",56,12,30,23,0,0,0,,
340290,340290,Dr.Green,Johan Aronsson,Johan Aronsson,,26,10,0,"0 .. 20,000",6,0,7,0,299,299,0,,
296590,296590,Draconian Wars,Kardfy Studios,Kardfy Studios,,17,25,0,"0 .. 20,000",177,0,180,0,599,599,0,,
289820,289820,Dracula 2: The Last Sanctuary,Microids,Microids,,32,102,0,"20,000 .. 50,000",49,0,86,0,499,499,0,,
289840,289840,Dracula 3: The Path of the Dragon,Microids,Microids,,34,81,0,"20,000 .. 50,000",398,0,403,0,799,799,0,,
279560,279560,Dracula 4 and  5 - Special Steam Edition,Koalabs,Microids,,37,18,0,"20,000 .. 50,000",12,0,10,0,799,799,0,,
11050,11050,Dracula Origin,Frogwares,Frogwares,,93,45,0,"20,000 .. 50,000",132,0,122,0,999,999,0,,
396790,396790,Dracula's Legacy,"Jetdogs Studios, IndeePop",Jetdogs Studios,,462,126,0,"100,000 .. 200,000",240,0,211,0,299,299,0,,
252890,252890,Dracula: Love Kills,Waterlily Games,Frogwares,,100,22,0,"20,000 .. 50,000",1188,0,2058,0,999,999,0,,
289800,289800,Dracula: The Resurrection,Microids,Microids,,85,133,0,"50,000 .. 100,000",63,0,70,0,499,499,0,,
unknow,unknow,Dragomon Hunter,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Dragon Age II,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Dragon Age Origins Character Creator,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
17450,17450,Dragon Age: Origins,BioWare,Electronic Arts,,6173,460,0,"500,000 .. 1,000,000",2081,1063,432,1206,1999,1999,0,,
47810,47810,Dragon Age: Origins - Ultimate Edition,BioWare,Electronic Arts,,8766,706,0,"1,000,000 .. 2,000,000",1803,350,463,236,2999,2999,0,,
47730,47730,Dragon Age: Origins Awakening,BioWare,Electronic Arts,,92,7,0,"100,000 .. 200,000",84,0,1,0,999,999,0,,
323470,323470,DRAGON BALL XENOVERSE,DIMPS,BANDAI NAMCO Entertainment,,12593,1669,0,"500,000 .. 1,000,000",1636,226,953,226,3999,3999,0,,
11610,11610,Dragon Nest,Eyedentity Games Inc.,Eyedentity Games Inc.,,1461,497,0,"500,000 .. 1,000,000",4923,9159,126,9159,0,0,0,,
unknow,unknow,Dragon Nest Europe,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Dragon Quest Heroes,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
227380,227380,Dragon's Lair,Digital Leisure Inc.,Digital Leisure Inc.,,311,92,0,"20,000 .. 50,000",76,0,46,0,999,999,0,,
240360,240360,Dragon's Lair 2: Time Warp,Digital Leisure Inc.,Digital Leisure Inc.,,46,9,0,"0 .. 20,000",219,0,255,0,999,999,0,,
259020,259020,Dragon's Prophet,Runewaker,Infernum Productions AG,,594,267,0,"200,000 .. 500,000",604,0,89,0,0,0,0,,
unknow,unknow,Dragon's Prophet (EU),unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
305960,305960,Dragon: The Game,Sky Drake Studios,Red Level Games,,312,348,0,"0 .. 20,000",146,0,211,0,1799,1799,0,,
263500,263500,Dragons and Titans,Wyrmbyte,"Versus Evil	",,2426,707,0,"1,000,000 .. 2,000,000",354,5,39,5,0,0,0,,
12640,12640,Drakensang,Radon Labs,DTP Entertainment,,232,71,0,"100,000 .. 200,000",528,790,148,1123,999,999,0,,
33770,33770,Drakensang: The River of Time,DTP,Valusoft,,152,36,0,"50,000 .. 100,000",549,0,252,0,1999,1999,0,,
266030,266030,DRAKERZ-Confrontation,Peoleo Entertainment,Peoleo Entertainment,,131,126,0,"100,000 .. 200,000",73,0,33,0,0,0,0,,
248650,248650,Draw a Stickman: EPIC,Hitcents,Hitcents,,783,246,0,"100,000 .. 200,000",200,0,96,0,399,399,0,,
51060,51060,Drawn: The Painted Tower,Big Fish Studios,Big Fish Games,,85,12,0,"0 .. 20,000",267,0,315,0,999,999,0,,
229580,229580,Dream,HyperSloth,Mastertronic,,548,381,0,"50,000 .. 100,000",221,6,90,6,899,899,0,,
964890,964890,Dream,"Dream Garage, Incorporated","Dream Garage, Incorporated",,2,0,0,"0 .. 20,000",0,0,0,0,0,0,0,,
335820,335820,Dream Of Mirror Online,SoftStar,SubaGames,,241,208,0,"100,000 .. 200,000",559,0,16,0,0,0,0,,
215790,215790,Dream Pinball 3D,ASK Homework,Topware Interactive ACE,,163,377,0,"200,000 .. 500,000",271,253,284,300,699,699,0,,
337450,337450,Dream Tale,Green Lava Studios,Strategy First,,24,4,0,"0 .. 20,000",74,0,75,0,499,499,0,,
237850,237850,Dreamfall Chapters,Red Thread Games,Red Thread Games,,2810,559,0,"200,000 .. 500,000",725,46,281,46,2499,2499,0,,
6300,6300,Dreamfall: The Longest Journey,Funcom,Funcom,,589,89,0,"100,000 .. 200,000",567,0,340,0,1999,1999,0,,
296870,296870,Dreaming Sarah,"Asteristic Game Studio, Anthony Septim",Asteristic Game Studio,,1664,161,0,"200,000 .. 500,000",243,115,258,200,599,599,0,,
263380,263380,Driftmoon,"Ville Mönkkönen, Anne Mönkkönen",Instant Kingdom,,191,21,0,"20,000 .. 50,000",156,669,32,669,1499,1499,0,,
334840,334840,Drive to Hell,Ghost Crab Games,Ghost Crab Games,,48,9,0,"20,000 .. 50,000",177,0,177,0,499,499,0,,
403040,403040,Driver Booster 3 for STEAM,IObit,IObit,,342,114,0,"100,000 .. 200,000",348,28,51,42,0,0,0,,
unknow,unknow,Driver San Francisco,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
273730,273730,Driving School Simulator,Ovilex Software,United Independent Entertainment GmbH,,40,135,0,"0 .. 20,000",119,0,167,0,1499,1499,0,,
219200,219200,Droid Assault,Puppygames,Puppygames,,274,54,0,"50,000 .. 100,000",470,0,93,0,999,999,0,,
unknow,unknow,Droplitz,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
209060,209060,Drunken Robot Pornography,"Dejobaan Games, LLC","Dejobaan Games, LLC",,523,99,0,"50,000 .. 100,000",159,36,77,36,1499,1499,0,,
6270,6270,Ducati World Championship,Artematica Entertainment,Strategy First,,76,100,0,"20,000 .. 50,000",10,0,13,0,499,499,0,,
unknow,unknow,Duck Dynasty,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
312530,312530,Duck Game,Landon Podbielski,Adult Swim Games,,16621,745,0,"500,000 .. 1,000,000",1024,191,309,67,1299,1299,0,,
237630,237630,DuckTales: Remastered,WayForward,Capcom,,3168,519,0,"200,000 .. 500,000",265,55,179,92,1499,1499,0,,
unknow,unknow,Duke Nukem 3D Megaton Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
57900,57900,Duke Nukem Forever,Gearbox Software,2K,,4405,2216,0,"1,000,000 .. 2,000,000",463,143,167,143,1999,1999,0,,
355100,355100,Dungeon Crawlers HD,Drowning Monkeys Games,Drowning Monkeys Games,,30,25,0,"0 .. 20,000",453,0,469,0,499,499,0,,
65800,65800,Dungeon Defenders,Trendy Entertainment,Trendy Entertainment,,10638,928,0,"1,000,000 .. 2,000,000",2408,331,690,181,374,1499,75,,
302270,302270,Dungeon Defenders Eternity,Nom Nom Games,Trendy Entertainment,,825,778,0,"50,000 .. 100,000",923,0,351,0,0,0,0,,
236110,236110,Dungeon Defenders II,Trendy Entertainment,Trendy Entertainment,,10713,3776,0,"2,000,000 .. 5,000,000",1099,603,149,45,0,0,0,,
495910,495910,Dungeon Fighter Online,Neople,Neople,,1680,579,0,"500,000 .. 1,000,000",1528,526,167,739,0,0,0,,
229520,229520,Dungeon Hearts,Cube Roots,Devolver Digital,,319,177,0,"50,000 .. 100,000",159,0,108,0,299,299,0,,
382090,382090,Dungeon Nightmares II : The Memory,K Monkey,K Monkey,,169,38,0,"20,000 .. 50,000",39,0,59,0,899,899,0,,
302310,302310,Dungeon of Elements,Frogdice,Frogdice,,73,98,0,"50,000 .. 100,000",423,8,448,8,999,999,0,,
249050,249050,Dungeon of the Endless,AMPLITUDE Studios,SEGA,,7362,1037,0,"500,000 .. 1,000,000",524,124,210,179,1199,1199,0,,
39190,39190,Dungeon Siege,Gas Powered Games,Square Enix,,1157,393,0,"200,000 .. 500,000",328,45,82,62,699,699,0,,
unknow,unknow,Dungeon Siege 2,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
39160,39160,Dungeon Siege III,Obsidian Entertainment,Square Enix,,1075,736,0,"500,000 .. 1,000,000",409,244,94,447,1499,1499,0,,
383230,383230,Dungeon Souls,"Lamina Studios, Mike Studios",Black Shell Media,,1416,485,0,"100,000 .. 200,000",462,105,324,105,1299,1299,0,,
215870,215870,Dungeon-Party,Cyanide Studio,Bigben Interactive,,157,231,0,"200,000 .. 500,000",221,1,2,1,0,0,0,,
209390,209390,Dungeonbowl - Knockout Edition,Cyanide Studio,Bigben Interactive,,15,52,0,"20,000 .. 50,000",252,0,306,0,1299,1299,0,,
unknow,unknow,Dungeonland,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
254270,254270,Dungeonland - All access pass,,,,0,0,0,"0 .. 20,000",0,0,0,0,0,0,0,,
unknow,unknow,Dungeons & Dragons Daggerdale,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
206480,206480,Dungeons & Dragons Online,"Standing Stone Games, LLC","Standing Stone Games, LLC",,1700,677,0,"500,000 .. 1,000,000",559,393,102,431,0,0,0,,
229480,229480,Dungeons & Dragons: Chronicles of Mystara,Iron Galaxy Studios,Capcom,,778,180,0,"100,000 .. 200,000",144,0,100,0,1499,1499,0,,
unknow,unknow,DUNGEONS - Steam Special Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,DUNGEONS - The Dark Lord (Steam Special Edition),unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
262280,262280,Dungeons 2,Realmforge Studios,Kalypso Media Digital,,3025,776,0,"1,000,000 .. 2,000,000",408,78,240,78,1999,1999,0,,
98800,98800,Dungeons of Dredmor,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",,3875,235,0,"500,000 .. 1,000,000",964,162,190,160,499,499,0,,
303510,303510,Dungeons: The Eye of Draconus,SuckerFree Games,SuckerFree Games,,80,91,0,"20,000 .. 50,000",172,0,181,0,299,299,0,,
254320,254320,Duskers,Misfits Attic,Misfits Attic,,941,122,0,"50,000 .. 100,000",575,0,302,0,1999,1999,0,,
236090,236090,Dust: An Elysian Tail,Humble Hearts LLC,Microsoft Studios,,15044,626,0,"1,000,000 .. 2,000,000",439,2,214,2,1499,1499,0,,
unknow,unknow,Dustforce,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
341730,341730,Dustoff Heli Rescue,Invictus Games Ltd.,Invictus Games Ltd.,,290,53,0,"20,000 .. 50,000",192,0,176,0,399,399,0,,
213650,213650,Dwarfs - F2P,Power of 2,Tripwire Interactive,,1330,226,0,"500,000 .. 1,000,000",147,0,43,0,0,0,0,,
35480,35480,Dwarfs!?,Power of 2,Tripwire Interactive,,618,174,0,"200,000 .. 500,000",197,6477,42,6477,999,999,0,,
223450,223450,Dyad,][ Games Inc,Shawn McGrath,,165,50,0,"20,000 .. 50,000",47,0,24,0,1499,1499,0,,
239140,239140,Dying Light,Techland,Techland Publishing,,76815,6041,0,"2,000,000 .. 5,000,000",2134,483,1276,156,3999,3999,0,,
202730,202730,Dynamite Jack,"Hassey Enterprises, Inc.","Hassey Enterprises, Inc.",,345,56,0,"100,000 .. 200,000",48,0,19,0,999,999,0,,
322520,322520,DYNASTY WARRIORS 8 Empires,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,554,316,0,"50,000 .. 100,000",1612,151,838,151,4999,4999,0,,
unknow,unknow,DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
3380,3380,Dynomite Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",,49,4,0,"20,000 .. 50,000",132,0,186,0,499,499,0,,
unknow,unknow,Dysan the Shapeshifter,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
248800,248800,Dysfunctional Systems: Learning to Manage Chaos,Dischan Media,Dischan Media,,615,180,0,"50,000 .. 100,000",123,0,121,0,499,499,0,,
17580,17580,Dystopia,Puny Human,Telltale Games,,745,153,0,"200,000 .. 500,000",154,0,13,0,0,0,0,,
912630,912630,Dystopia,BIG BOYS STUDIO,Step cloud inc.,,0,1,0,"0 .. 20,000",0,0,0,0,0,0,0,,
91700,91700,E.Y.E: Divine Cybermancy,Streum On Studio,Streum On Studio,,4435,898,0,"500,000 .. 1,000,000",456,13,222,17,999,999,0,,
232050,232050,Eador. Masters of the Broken World,Snowbird Games,Snowbird Games,,1353,672,0,"1,000,000 .. 2,000,000",300,73,272,106,1999,1999,0,,
unknow,unknow,Earth 2150 Lost Souls,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Earth 2150 The Moon Project,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
253880,253880,Earth 2150 Trilogy,Reality Pump Studios,"Topware Interactive, ACE",,317,117,0,"100,000 .. 200,000",333,289,331,309,699,699,0,,
1900,1900,Earth 2160,Reality Pump Studios,"Topware Interactive, ACE",,493,231,0,"1,000,000 .. 2,000,000",400,292,415,403,499,499,0,,
23530,23530,Earth Defense Force: Insect Armageddon,"Vicious Cycle Software, Inc.","D3Publisher of America, Inc.",,728,93,0,"50,000 .. 100,000",369,92,183,92,999,999,0,,
25930,25930,East India Company,Nitro Games,Nitro Games,,44,48,0,"50,000 .. 100,000",114,0,39,0,999,999,0,,
unknow,unknow,East India Company Gold,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,East India Company Pirate Bay,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,East India Company Privateer,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
301120,301120,Eastside Hockey Manager,Sports Interactive,SEGA,,716,138,0,"100,000 .. 200,000",3900,86,130,86,1999,1999,0,,
unknow,unknow,EasyAntiCheat eSports,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
