|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
263100,263100,9.03m,Space Budgie,Space Budgie,,784,164,0,"20,000 .. 50,000",13,7,14,7,0,0,0,,
264280,264280,99 Levels To Hell,"Zaxis Games, B-evil",Zaxis Games,,346,208,0,"50,000 .. 100,000",273,0,104,0,499,499,0,,
258090,258090,99 Spirits,TORaIKI,Fruitbat Factory,,214,147,0,"50,000 .. 100,000",310,0,210,0,999,999,0,,
371550,371550,A Bastard's Tale,No Pest Productions,No Pest Productions,,154,39,0,"20,000 .. 50,000",150,0,191,0,169,499,66,,
327410,327410,A Bird Story,Freebird Games,Freebird Games,,5962,1140,0,"200,000 .. 500,000",170,0,133,0,399,399,0,,
316180,316180,A City Sleeps,"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc",,50,33,0,"20,000 .. 50,000",266,0,196,0,999,999,0,,
333970,333970,A Druid's Duel,Thoughtshelter Games,Surprise Attack ,,76,27,0,"20,000 .. 50,000",179,0,168,0,799,799,0,,
58550,58550,A Game of Thrones - Genesis,Cyanide Studios,"Focus Home Interactive, 1C-SoftClub",,199,416,0,"100,000 .. 200,000",194,0,42,0,999,999,0,,
307570,307570,A Golden Wake,Grundislav Games,Wadjet Eye Games,,118,51,0,"20,000 .. 50,000",260,0,233,0,999,999,0,,
105000,105000,A New Beginning - Final Cut,Daedalic Entertainment,Daedalic Entertainment,,990,312,0,"200,000 .. 500,000",229,0,70,0,999,999,0,,
278360,278360,A Story About My Uncle,Gone North Games,Coffee Stain Publishing,,17231,1580,0,"5,000,000 .. 10,000,000",200,177,215,92,1299,1299,0,,
209330,209330,A Valley Without Wind,"Arcen Games, LLC","Arcen Games, LLC",,271,185,0,"200,000 .. 500,000",245,0,140,0,1499,1499,0,,
228320,228320,A Valley Without Wind 2,"Arcen Games, LLC","Arcen Games, LLC",,93,98,0,"100,000 .. 200,000",162,0,18,0,1499,1499,0,,
313870,313870,A Vampyre Story,Autumn Moon,Strategy First,,48,35,0,"0 .. 20,000",419,0,419,0,1999,1999,0,,
207650,207650,A Virus Named TOM,Misfits Attic,Misfits Attic,,378,305,0,"200,000 .. 500,000",214,0,129,0,999,999,0,,
248730,248730,A Walk in the Dark,,,,298,69,0,"20,000 .. 50,000",98,0,124,0,699,699,0,,
280040,280040,A Wizard's Lizard,Lost Decade Games,Lost Decade Games,,284,131,0,"50,000 .. 100,000",257,0,162,0,999,999,0,,
294190,294190,A-Men 2,Bloober Team SA,Bloober Team SA,,9,12,0,"0 .. 20,000",464,0,412,0,899,899,0,,
249930,249930,A-Train 8,ARTDINK,Degica,,20,26,0,"20,000 .. 50,000",3,0,4,0,1999,1999,0,,
46200,46200,A.I.M. Racing,SkyRiver Studios,1C Entertainment,,53,21,0,"20,000 .. 50,000",15,0,15,0,299,299,0,,
289180,289180,A.I.M.2 Clan Wars,SkyRiver Studios,1C Entertainment,,213,65,0,"20,000 .. 50,000",1123,0,561,0,299,299,0,,
unknow,unknow,A.R.E.S.,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
